Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
60321447,Chip War: The Fight for the World's Most Critical Technology,Chris   Miller,"Miller, Chris",,"=""1982172002""","=""9781982172008""",3,Scribner,Hardcover,431,2022,2022,2026/05/25,2026/04/30,,,read,,,,1,0
206200227,The Obstacle is the Way: The Timeless Art of Turning Trials into Triumph,Ryan Holiday,"Holiday, Ryan",,"=""0593719921""","=""9780593719923""",0,Portfolio,Kindle Edition,223,2024,2014,,2026/05/23,currently-reading,currently-reading (#6),currently-reading,,,,1,0
66863,Only the Paranoid Survive: How to Exploit the Crisis Points that Challenge Every Company and Career,Andrew S. Grove,"Grove, Andrew S.",,"=""1861975139""","=""9781861975133""",0,Profile Business,Paperback,224,1998,1996,,2026/05/18,to-read,to-read (#6),to-read,,,,0,0
31138556,Homo Deus: A History of Tomorrow,Yuval Noah Harari,"Harari, Yuval Noah",,"=""""","=""""",1,Harper,ebook,450,2017,2015,,2026/03/13,,,read,This book is complete nonsense. The author uses many technical concepts arbitrarily which undermines the essence of such technical concepts (i.e. simplifying many concepts to a non-intelligible level) ,,,2,0
53420725,"Meditations: An essential, best-loved classic (Collins Classics)",Marcus Aurelius,"Aurelius, Marcus",,"=""0008425027""","=""9780008425029""",0,HarperPress,Paperback,160,2021,180,,2026/05/10,currently-reading,currently-reading (#5),currently-reading,,,,2,0
44232012,The War of the Worlds,H.G. Wells,"Wells, H.G.",,"=""6020386627""","=""9786020386621""",2,Gramedia Pustaka Utama,Paperback,312,2018,1898,2026/05/10,2026/05/01,,,read,,,,1,0
12292055,The Power Of Babel: A Natural History of Language,John McWhorter,"McWhorter, John",,"=""""","=""""",0,,Kindle Edition,436,,2001,,2026/05/01,currently-reading,currently-reading (#4),currently-reading,,,,1,0
39982914,Structure and Interpretation of Computer Programs (MIT Electrical Engineering and Computer Science),Harold Abelson,"Abelson, Harold","Gerald Jay Sussman, Julie Sussman","=""""","=""""",0,,Kindle Edition,828,2018,1984,,2026/05/01,currently-reading,currently-reading (#3),currently-reading,,,,0,0
558194,Naive Set Theory (Undergraduate Texts in Mathematics),Paul R. Halmos,"Halmos, Paul R.",,"=""0387900926""","=""9780387900926""",0,Springer,Hardcover,111,1998,1960,,2026/03/04,to-read,to-read (#5),to-read,,,,1,0
209612420,The Three-Body Problem,Liu Cixin,"Cixin, Liu",,"=""1035911922""","=""9781035911929""",3,Head of Zeus,Paperback,442,2024,2006,2026/04/30,2026/04/23,,,read,The first three quarter of the book is actually quite captivating. There's sense of there exists far greater being than us. <br/><br/>The last quarter book is quite boring. I think revealing of the Sophon project capabilty of manipulating earth's observant of cosmic background wave & manipulating analog camera film shouldn't be in this book but in the next one as to keep the reader think that there exists greater civilization than both trisolarian & earth.,true,,1,0
28604693,Computer Systems: A Programmer's Perspective,Randal E. Bryant,"Bryant, Randal E.",David R. O'Hallaron,"=""1292101768""","=""9781292101767""",0,Pearson,Paperback,1120,2015,2002,,2026/01/03,to-read,to-read (#4),to-read,,,,1,0
1331840,Basic Chinese: A Grammar and Workbook (Grammar Workbooks),Yip Po-Ching,"Po-Ching, Yip",,"=""0415160375""","=""9780415160377""",0,Routledge,Paperback,232,1998,1998,,2026/02/19,to-read,to-read (#3),to-read,,,,1,0
52908942,How to Avoid a Climate Disaster: The Solutions We Have and the Breakthroughs We Need,Bill  Gates,"Gates, Bill",,"=""0385546130""","=""9780385546133""",2,Knopf Publishing Group,Hardcover,288,2021,2021,2026/04/23,2026/03/29,,,read,The end of this book is too US-centric. I should've read book about climate change from the actual climate scientist. I also don't like the set of lexicon he chose for this book.,,,1,0
6518085,Pro Git (Expert's Voice in Software Development),Scott Chacon,"Chacon, Scott",,"=""1430218339""","=""9781430218333""",0,Apress,Paperback,290,2009,2009,,2026/04/23,to-read,to-read (#2),to-read,,,,0,0
862403,The World Is Flat: The Globalized World in the Twenty First Century,Thomas L. Friedman,"Friedman, Thomas L.",,"=""0141022728""","=""9780141022727""",3,Penguin Books,Paperback,566,2006,2005,2026/03/28,2026/03/11,,,read,I want to rate this book 2.5/5 but I couldn't. <br/><br/>There are still mamy things that are relevant from the perspective of 1st decade of 21st century. <br/><br/>We also could see that the flattening of the world are progressively reversed such as by the work of trump trying to enforce tariff.,,,3,0
8908,World War Z: An Oral History of the Zombie War,Max Brooks,"Brooks, Max",,"=""0307346609""","=""9780307346605""",0,Crown,Hardcover,342,2006,2006,,2026/03/11,to-read,to-read (#1),to-read,,,,1,0
40611510,The Last Lecture,Randy Pausch,"Pausch, Randy",Jeffrey Zaslow,"=""""","=""""",5,Hachette Books,Kindle Edition,217,2008,2008,,2025/06/01,,,read,,,,1,0
69571,Rich Dad Poor Dad: What the Rich Teach Their Kids About Money—That the Poor and Middle Class Do Not!,Robert T. Kiyosaki,"Kiyosaki, Robert T.",,"=""0751532711""","=""9780751532715""",1,Time Warner Books UK,Paperback,195,2002,1997,,2026/03/18,,,read,,,,1,0
18693655,A Mind for Numbers: How to Excel at Math and Science (Even If You Flunked Algebra),Barbara Oakley,"Oakley, Barbara",,"=""039916524X""","=""9780399165245""",3,The Penguin Group,Paperback,336,2014,2014,,2026/03/11,,,read,,,,1,0
17986418,Naked Statistics: Stripping the Dread from the Data,Charles Wheelan,"Wheelan, Charles",,"=""039334777X""","=""9780393347777""",3,W. W. Norton & Company,Paperback,304,2014,2012,,2026/03/11,,,read,,,,1,0
10959,Sophie’s World,Jostein Gaarder,"Gaarder, Jostein",Paulette Møller,"=""1857993284""","=""9781857993288""",2,Phoenix,Paperback,403,1995,1991,2026/03/11,2026/02/27,,,read,"Most of the philosophy alberto talked here were revolved around western society. There is barely any discussion about Middle Eastern/East Asia/South Asia philosophy. <br/><br/>Personally, 90% of what philosophy consists of are really boring stuff.",,,1,0
54817547,The Hero Code: Lessons Learned from Lives Well Lived,William H. McRaven,"McRaven, William H.",,"=""1538719967""","=""9781538719961""",2,Grand Central Publishing,Hardcover,176,2021,2021,,2025/06/01,,,read,,,,1,0
40591677,Keep Going: 10 Ways to Stay Creative in Good Times and Bad (Austin Kleon),Austin Kleon,"Kleon, Austin",,"=""1523506644""","=""9781523506644""",2,Workman Publishing Company,Paperback,224,2019,2019,,2025/06/01,,,read,,,,1,0
13099738,Steal Like an Artist: 10 Things Nobody Told You About Being Creative,Austin Kleon,"Kleon, Austin",,"=""0761169253""","=""9780761169253""",2,Workman Publishing Company,Paperback,160,2012,2012,,2025/06/01,,,read,,,,1,0
43306206,"The Courage to Be Disliked: How to Free Yourself, Change Your Life and Achieve Real Happiness",Ichiro Kishimi,"Kishimi, Ichiro",Fumitake Koga,"=""""","=""""",1,Allen & Unwin,Paperback,288,2019,2013,,2025/06/01,,,read,,,,1,0
